Sl. No,Course code,Course name,Credits,L-T-P-S-C,Faculty,Department,Sections
Sem 1,,,,,,,
1,MA101,Statistics ,2,3-0-0-0-4,Dr. Ramesh Athe,DSAI,Combined
2,DS101,Introduction to DS and AI,2,3-0-0-0-4,Dr. Abdul Wahid,CSE,Combined
3,ELE,Open elective I,2,3-0-0-0-4,,,
4,MA102,Probability,2,3-0-0-0-4,Dr. Lakshman,HSS ,Combined
5,CS106,Digital Design,2,3-0-2-0-2,Dr. Jagadeesha R Bhat,ECE,Combined
6,CS105,Problem Solving through Programming,4,3-0-2-0-4,Dr. Sunil P V,CSE,2 sections
7,CS107,Intro to Design,2,1-0-2-0-2,Dr. Sandesh,HSS ,2 sections
8,HS105,English Language and Communication,3,3-0-0-0-3,Dr. Rajesh ,HSS ,2 sections
Sem 3,,,,,,,
1,CS201,Discrete Mathematics,4,3-1-0-0-4,Dr. Sadhvi,CSE,2 sections
2,CS207,OOP,4,3-0-2-0-4,Dr. Vivek,CSE,2 sections
3,CS208,Computer Architecture,4,3-0-2-0-4,Dr. Prabhu Prasad B M,CSE,2 sections
4,CS202,DAA,5,3-1-2-0-4,Dr. Dibyajyothi,CSE,2 sections
5,MA201,Probability,4,3-1-0-0-4,Dr. Anand,HSS ,2 sections
6,HS206,Industrial Social Psychology,3,3-0-0-0-3,Dr. Navyashree,HSS ,2 sections
Sem 5,,,,,,,
1,CS309,Statistics for Computer Science,4,3-1-0-0-4,Dr. Ramesh Athe,DSAI and CSE,2 sections
2,CS303,Computer Networks,5,3-1-2-0-5,Dr. C B Akki,CSE,2 sections
3,CS304,Artificial Intelligence,4,3-1-0-0-4,Dr. Krishendu,CSE,2 sections
4,Theory basket ,Graph Theory/Advanced algorithm design,4,4-0-0-0-4,Dr. Pavan / Dr. Suvadip Hazra,CSE,2 sections
6,HS101,Environmental studies,2,0-0-0-8-2,,,
Sem 7,,,,,,,
1,,Elective 1,4,4-0-0-0-4,,,
2,,Elective 2,4,4-0-0-0-4,,,
3,,Elective 3,4,4-0-0-0-4,,,
4,,Elective 4,4,4-0-0-0-4,,,
5,,Mini project II,2,0-0-0-8-2,,,
